PopName,Area,Sex,Age,AgeInterval,Type,Day,Month,Year,RefCode,Access,Population,NoteCode1,NoteCode2,NoteCode3,LDB
GBR_SCO,01,f,75,5,C,02,04,1911,12,O,26177,.,.,.,1
GBR_SCO,01,f,80,5,C,02,04,1911,12,O,13073,.,.,.,1
GBR_SCO,01,f,85,5,C,02,04,1911,12,O,4822,.,.,.,1
GBR_SCO,01,f,90,5,C,02,04,1911,12,O,1230,.,.,.,1
GBR_SCO,01,f,95,5,C,02,04,1911,12,O,249,.,.,.,1
GBR_SCO,01,f,100,+,C,02,04,1911,12,O,19,.,.,.,1
GBR_SCO,01,f,UNK,.,C,02,04,1911,12,O,193,.,.,.,1
GBR_SCO,01,f,TOT,.,C,02,04,1911,12,O,2452065,.,.,.,1
GBR_SCO,01,m,0,5,O,01,07,1912,14,O,263338,3,.,.,1
GBR_SCO,01,m,5,5,O,01,07,1912,14,O,255154,3,.,.,1
